Movie_Name,Certification,Release_Date,Genres,Language,Budget,Revenue,Runtime
Cinderella II: Dreams Come True,G,2/23/02,Family,English,"$5,000,000.00 ",-,74
The Burning Sea,12,10/29/21,Action,Released,Language,"$2,836,382.00 ",104
Purpose of Reunion 3,19+,2/20/18,Drama,3,Released,-,80
Mobile Suit Gundam Hathaway,PG-13,6/11/21,Animation,Status,Original,-,96
Below Her Mouth,16,2/10/17,Drama,English,-,"$33,673.00 ",92
The Cellar,15,3/25/22,Horror,English,-,-,94
Alien,PG,10/31/79,Horror,English,"$11,000,000.00 ","$104,931,801.00 ",117
Shut In,R,2/10/22,Thriller,English,-,"$304,106.00 ",90
Don't Be a Menace to South Central While Drinking Your Juice in the Hood,R,1/12/96,Comedy,English,"$3,800,000.00 ","$20,109,115.00 ",89
King,U,2/16/22,Adventure,French,-,"$2,551,835.00 ",105
Ponyo,G,7/19/08,Animation,Released,Language,"$202,404,009.00 ",100
Naked Rashomon,,7/4/73,Drama,Status,Original,-,72
After Porn Ends 3,16,10/30/18,Documentary,English,"$500,000.00 ",-,86
Woman with Pierced Nipples,,4/15/83,Drama,Released,Language,-,69
X-Men: Apocalypse,PG-13,5/19/16,Action,English,"$178,000,000.00 ","$543,934,787.00 ",144
42,PG-13,4/12/13,Drama,English,"$40,000,000.00 ","$95,020,213.00 ",128
Nightmare Alley,M18,1/13/22,Crime,English,"$60,000,000.00 ","$39,629,195.00 ",150
The Hangover Part III,R,5/23/13,Comedy,English,"$103,000,000.00 ","$362,000,072.00 ",100
Cuando Sea Joven,PG,9/14/22,Comedy,Spanish;,Budget,-,115
Law Abiding Citizen,R,10/15/09,Drama,English,"$53,000,000.00 ","$127,944,208.00 ",109
No Limit,R21,9/9/22,Drama,Status,Original,-,119
Mission: Impossible - Fallout,U,8/31/18,Action,English,"$178,000,000.00 ","$791,657,398.00 ",147
Para entrar a vivir,,8/16/22,Comedy,Spanish;,Budget,-,
"One Piece ""3D2Y"": Overcome Ace's Death! Luffy's Vow to his Friends",PG-13,8/30/14,Action,“3D2Y”,ルフィ仲間との誓い,-,105
Mr. Harrigan's Phone,NC16,10/5/22,Drama,English,-,-,105
Garfield,PG,10/19/04,Animation,English,"$50,000,000.00 ","$200,804,534.00 ",80
Star Wars: The Last Jedi,PG-13,12/15/17,Adventure,English,"$200,000,000.00 ","$1,332,698,830.00 ",152
Baywatch,R,5/26/17,Comedy,English,"$69,000,000.00 ","$177,856,751.00 ",116
The Good  the Bad and the Ugly,PG,8/4/09,Western,il,il,"$25,253,887.00 ",161
American Pie Presents: The Book of Love,R,12/4/09,Comedy,English,"$7,000,000.00 ","$5,021,219.00 ",93
Gold,R,1/13/22,Horror,English,"$6,500,000.00 ","$176,048.00 ",97
Shark Tale,PG,11/4/04,Animation,English,"$75,000,000.00 ","$367,275,019.00 ",90
Terminator Salvation,12A,6/3/09,Action,English,"$200,000,000.00 ","$371,353,001.00 ",117
One Piece: Adventure of Nebulandia,PG-13,12/19/15,Action,〜アドベンチャー,ネブランディア〜,-,106
Constantine,R,2/8/05,Fantasy,English,"$100,000,000.00 ","$230,884,728.00 ",121
The SpongeBob SquarePants Movie,PG,3/17/05,Family,English,"$30,000,000.00 ","$140,161,792.00 ",87
The Hobbit: The Desolation of Smaug,PG-13,12/12/13,Fantasy,English,"$250,000,000.00 ","$958,400,000.00 ",161
The Incredible Hulk,PG-13,6/12/08,Science Fiction,English,"$150,000,000.00 ","$163,712,074.00 ",114
Spirit Halloween: The Movie,PG-13,9/30/22,Fantasy,English,-,"$93,434.00 ",87
Alita: Battle Angel,PG13,2/5/19,Action,English,"$170,000,000.00 ","$404,980,000.00 ",122
Belle,PG,11/18/21,Animation,Released,Language,"$63,501,160.00 ",122
The Mummy Returns,PG-13,5/24/01,Adventure,English,"$98,000,000.00 ","$443,280,904.00 ",130
(500) Days of Summer,PG-13,10/8/09,Comedy,English,"$7,500,000.00 ","$60,781,545.00 ",95
Cosas de amigos,,4/28/22,Comedy,Spanish;,Budget,-,
Gladiator,R,5/5/00,Action,English,"$103,000,000.00 ","$465,361,176.00 ",155
Father There Is Only One 3,APTA,7/15/22,Comedy,hay,que,-,99
WarHunt,R,1/21/22,Action,English,-,-,93
The Proposal,PG-13,6/1/09,Comedy,English,"$40,000,000.00 ","$317,375,031.00 ",108
Dragon Ball Z: Super Android 13!,PG,7/11/92,Action,Status,Original,"$18,554,927.00 ",
Young Aunt,19+,5/31/18,Romance,Released,Language,-,80
Sniper: Ghost Shooter,16,8/2/16,Action,English,"$3,000,000.00 ",-,100
I Want You,12,6/22/12,Drama,de,Status,-,130
War Dogs,R,8/19/16,Comedy,English,"$40,000,000.00 ","$86,234,523.00 ",114
Amsterdam,M18,10/6/22,Crime,English,"$80,000,000.00 ","$24,211,191.00 ",134
Rush Hour 2,PG-13,8/3/01,Action,English,"$90,000,000.00 ","$347,325,802.00 ",90
How to Train Your Dragon: Homecoming,PG,12/3/19,Animation,English,-,-,
The Croods,PG,3/28/13,Animation,English,"$135,000,000.00 ","$587,204,668.00 ",98
Arrival,PG-13,1/12/17,Drama,English,"$47,000,000.00 ","$203,388,186.00 ",116
Friday,R,4/26/95,Comedy,English,"$3,500,000.00 ","$28,215,918.00 ",91
Pinocchio,G,2/23/40,Animation,English,"$2,600,000.00 ","$84,300,000.00 ",88
Vendetta,R,5/17/22,Action,English,-,-,96
Blonde,R21,9/28/22,Drama,English,"$22,000,000.00 ",-,167
Rambo,R,1/25/08,Action,English,"$50,000,000.00 ","$113,244,290.00 ",92
Shutter,NC-16,11/18/04,Horror,Status,Original,-,97
The Equalizer 2,R,7/20/18,Action,English,"$62,000,000.00 ","$190,400,157.00 ",121
Jack Reacher,PG-13,1/10/13,Crime,English,"$60,000,000.00 ","$218,340,595.00 ",130
Ice Age: Collision Course,G,6/30/16,Adventure,English,"$105,000,000.00 ","$408,579,038.00 ",95
Magnum Opus,PG,7/18/22,Animation,English,-,-,
Descendants: The Royal Wedding,G,8/13/21,Animation,English,-,-,
Jolt,M18,7/23/21,Action,English,-,"$238,524.00 ",91
Willy's Wonderland,NR,2/12/21,Action,English,"$5,000,000.00 ","$431,020.00 ",88
Kingsman: The Golden Circle,R,9/21/17,Action,English,"$104,000,000.00 ","$410,902,662.00 ",141
Matando el tiempo,18,11/30/22,Horror,Spanish;,Budget,-,
Alice in Wonderland,PG,3/4/10,Family,English,"$200,000,000.00 ","$1,025,467,110.00 ",108
Clash of the Titans,PG-13,4/2/10,Adventure,English,"$125,000,000.00 ","$493,214,993.00 ",106
Exodus: Gods and Kings,15,12/5/14,Adventure,English,"$140,000,000.00 ","$268,031,828.00 ",150
Star Wars: The Rise of Skywalker,PG-13,12/19/19,Adventure,English,"$250,000,000.00 ","$1,074,144,248.00 ",142
Wonder Woman,PG-13,5/31/17,Action,English,"$149,000,000.00 ","$822,854,286.00 ",141
A Serbian Film,NC-17,5/13/11,Crime,Status,Original,-,104
Borrego,R,1/14/22,Crime,English,-,-,102
Wish Dragon,PG,6/11/21,Animation,English,-,"$25,860,000.00 ",99
The Gangster  the Cop  the Devil,NC16,5/23/19,Crime,Released,Language,"$25,775,371.00 ",110
The Autopsy of Jane Doe,R,12/21/16,Horror,English,-,"$5,972,942.00 ",86
Goblin Slayer: Goblin's Crown,NC-17,2/1/20,Animation,CROWN-,Released,-,85
Eternal Sunshine of the Spotless Mind,R,3/19/04,Science Fiction,English,"$20,000,000.00 ","$72,258,126.00 ",108
The Terminator,R,10/26/84,Action,English,"$6,400,000.00 ","$78,371,200.00 ",108
1976,,3/22/23,Drama,Spanish;,Budget,-,95
Let's Be Cops,R,8/13/14,Comedy,English,"$17,000,000.00 ","$136,621,271.00 ",104
Rurouni Kenshin: The Final,M18,6/18/21,Action,The,Status,"$33,457,923.00 ",138
Obi-Wan Kenobi: A Jedi's Return,12,9/8/22,Documentary,English,-,-,
Shooter,R,3/22/07,Action,English,"$61,000,000.00 ","$95,696,996.00 ",124
Young Mother 5,19+,4/3/20,Drama,Status,Original,-,95
An Argentinian Crime,,8/25/22,Thriller,argentino,Released,-,113
Ninja Assassin,18,12/10/09,Action,English,"$40,000,000.00 ","$61,601,280.00 ",99
The Flash,,6/16/23,Action,Language,Budget,-,
Road to Ninja: Naruto the Movie,PG-13,7/28/12,Animation,Japanese,-,"$17,900,000.00 ",109
National Lampoon's Vacation,R,7/28/83,Comedy,English,"$15,000,000.00 ","$61,399,552.00 ",99
Bambi,G,8/14/42,Animation,English,"$858,000.00 ","$267,447,150.00 ",70
Lagunas  la guarida del diablo,16,5/11/22,Horror,Spanish;,Budget,-,
Rambo: Last Blood,M18,9/19/19,Action,English,"$50,000,000.00 ","$91,490,353.00 ",89
The Exorcist,R,10/10/06,Horror,English,"$15,000,000.00 ","$441,405,644.00 ",122
Godzilla: King of the Monsters,PG13,5/30/19,Science Fiction,English,"$170,000,000.00 ","$386,600,138.00 ",132
Miracles from Heaven,PG,3/18/16,Family,English,"$16,000,000.00 ","$73,983,359.00 ",119
The Good Dinosaur,PG,11/26/15,Adventure,English,"$175,000,000.00 ","$332,207,671.00 ",93
The Protector,R,11/3/05,Action,Released,Language,"$27,165,581.00 ",111
The Kings of the World,,10/13/22,Drama,del,Status,-,111
Colombiana,PG-13,10/13/11,Action,English,"$40,000,000.00 ","$60,965,854.00 ",108
Yu-Gi-Oh!: The Dark Side of Dimensions,PG,4/23/16,Adventure,DARK,OF,"$1,015,339.00 ",130
The Little Guy,PG,8/10/22,Animation,English,-,-,
Pain & Gain,R,4/26/13,Crime,English,"$25,000,000.00 ","$87,305,549.00 ",130
9 Bullets,16+,4/22/22,Action,English,-,-,96
The Emperor's New Groove,G,12/15/00,Adventure,English,"$100,000,000.00 ","$169,327,687.00 ",78
Insurance Queen : Her Business Secrets,19+,8/3/17,Romance,:,영업비밀,-,73
Teenage Mutant Ninja Turtles: Out of the Shadows,PG-13,6/2/16,Action,English,"$135,000,000.00 ","$245,623,848.00 ",112
Fireheart,PG,3/10/22,Animation,English,-,-,92
Hereditary,M18,6/21/18,Horror,English,"$10,000,000.00 ","$80,239,658.00 ",128
Don't Leave,M18,11/11/22,Romance,Released,Language,-,107
The Wizard of Oz,G,8/25/39,Adventure,English,"$2,777,000.00 ","$33,754,967.00 ",102
Bring It On: Cheer Or Die,PG-13,9/27/22,Thriller,English,-,-,91
American Pie,R,9/9/99,Comedy,English,"$11,000,000.00 ","$235,483,004.00 ",95
Fistful of Vengeance,M18,2/17/22,Action,English,-,-,97
Naruto Shippuden the Movie: Bonds,PG-13,8/2/08,Fantasy,-ナルト-,絆,"$10,600,000.00 ",90
Final Destination,R,5/18/00,Horror,English,"$23,000,000.00 ","$112,880,294.00 ",98
Ready or Not,R,8/22/19,Comedy,English,"$6,000,000.00 ","$57,615,777.00 ",95
Interceptor,M18,6/3/22,Action,English,-,-,98
Trading Places,R,6/3/08,Comedy,English,"$15,000,000.00 ","$90,404,800.00 ",116
Sicario,NC16,9/17/15,Action,English,"$30,000,000.00 ","$84,872,444.00 ",122
Young Mother 3,19+,9/3/15,Romance,Status,Original,-,95
22 Jump Street,R,7/24/14,Crime,English,"$50,000,000.00 ","$331,333,876.00 ",112
Princess Principal Crown Handler: Chapter 2,16,9/23/21,Animation,Handler,Status,-,
Rush Hour,PG-13,9/18/98,Action,English,"$33,000,000.00 ","$244,721,064.00 ",98
Captain America: The First Avenger,PG-13,7/22/11,Action,English,"$140,000,000.00 ","$370,569,774.00 ",124
Along with the Gods: The Two Worlds,12,12/20/17,Drama,Status,Original,"$125,983,972.00 ",139
Ralph Breaks the Internet,PG,11/22/18,Family,English,"$175,000,000.00 ","$529,221,154.00 ",112
Host,NR,7/30/20,Horror,English,-,"$26,745.00 ",
Argentina  1985,NC16,10/21/22,Drama,Spanish;,Budget,"$871,621.00 ",141
War for the Planet of the Apes,PG,7/13/17,Drama,English,"$150,000,000.00 ","$490,719,763.00 ",140
The Fly,R,8/15/86,Horror,English,"$15,000,000.00 ","$60,629,159.00 ",96
The Secret Life of Pets 2,PG,5/30/19,Adventure,English,"$80,000,000.00 ","$155,152,550.00 ",86
Schindler's List,R,1/24/19,Drama,English,"$22,000,000.00 ","$321,365,567.00 ",195
Lost & Found,16+,9/30/22,Thriller,Released,Language,-,100
Tenet,PG13,8/27/20,Action,English,"$205,000,000.00 ","$363,129,000.00 ",150
Season of the Witch,PG-13,1/7/11,Adventure,English,"$40,000,000.00 ","$91,627,228.00 ",95
The Commando,R,1/7/22,Action,English,-,-,93
Ticket to Paradise,PG13,10/6/22,Romance,English,"$20,000,000.00 ","$160,542,536.00 ",104
One Shot,15,1/29/22,Action,English,-,"$29,439.00 ",97
Lucy,R,8/20/14,Action,English,"$40,000,000.00 ","$458,863,600.00 ",89
A Haunted House,R,1/31/13,Comedy,English,"$2,500,000.00 ","$60,141,683.00 ",86
The Marksman,PG13,2/25/21,Action,English,"$23,000,000.00 ","$23,076,711.00 ",108
Miraculous Ladybug & Cat Noir: The Movie,,7/5/23,Animation,Film,Post,-,107
Miss Peregrine's Home for Peculiar Children,PG-13,9/30/16,Fantasy,English,"$110,000,000.00 ","$296,482,446.00 ",127
The Sword in the Stone,G,12/25/63,Animation,English,"$3,000,000.00 ","$22,182,353.00 ",79
Well Suited For Christmas,G,11/6/22,TV Movie,English,-,-,84
Glass,PG13,1/17/19,Thriller,English,"$20,000,000.00 ","$246,941,965.00 ",129
Superbad,R,8/17/07,Comedy,English,"$20,000,000.00 ","$170,812,526.00 ",113
Catch Me If You Can,PG-13,1/30/03,Drama,English,"$52,000,000.00 ","$352,114,312.00 ",141
The Good Nurse,NC16,10/26/22,Drama,English,-,-,121
Five Feet Apart,PG-13,3/21/19,Romance,English,"$7,000,000.00 ","$92,600,000.00 ",116
Mission: Impossible - Ghost Protocol,PG-13,12/15/11,Action,English,"$145,000,000.00 ","$694,713,380.00 ",133
Don't Look Up,M18,12/24/21,Comedy,English,"$75,000,000.00 ","$791,863.00 ",138
Happy Feet,G,11/23/06,Animation,English,"$100,000,000.00 ","$384,335,608.00 ",108
Dragon Ball Z: The World's Strongest,PG,3/10/90,Action,Status,Original,"$18,000,000.00 ",
Terminator: Dark Fate,NC16,10/24/19,Science Fiction,English,"$185,000,000.00 ","$261,119,292.00 ",128
The Devil Wears Prada,PG-13,8/31/06,Comedy,English,"$35,000,000.00 ","$326,551,094.00 ",109
Veneciafrenia,18+,4/22/22,Horror,Spanish;,Budget,-,100
In Time,PG-13,10/28/11,Action,English,"$40,000,000.00 ","$173,930,596.00 ",109
Taxi Driver,R,2/9/76,Crime,English,"$1,300,000.00 ","$28,570,902.00 ",114
Beyond the Universe,M18,10/27/22,Romance,Universo,Released,-,126
American Reunion,R,4/5/12,Comedy,English,"$50,000,000.00 ","$234,989,584.00 ",113
A Dog's Journey,PG,5/16/19,Family,English,-,"$2,520,000.00 ",109
Annabelle: Creation,R,8/9/17,Horror,English,"$15,000,000.00 ","$306,515,884.00 ",110
My Rosy Life  His Rosy Passion,R-18,12/27/14,Drama,Released,Language,-,62
The Valet,PG13,5/20/22,Comedy,English,-,-,124
Sick,R,9/24/22,Horror,English,-,-,83
Halloween Kills,M18,10/28/21,Horror,English,"$20,000,000.00 ","$131,647,155.00 ",105
Suicide Squad,PG13,8/4/16,Action,English,"$175,000,000.00 ","$746,846,894.00 ",123
Room Salon College Girls 3,19+,4/17/20,Romance,3,Released,-,70
Curious Caterer: Dying for Chocolate,PG,4/10/22,TV Movie,English,-,-,84
The Expendables,R,8/19/10,Thriller,English,"$80,000,000.00 ","$274,470,394.00 ",103
Planet of the Apes,G,2/7/68,Science Fiction,English,"$5,800,000.00 ","$32,589,624.00 ",112
Vanguard,PG13,9/30/20,Action,Released,Language,"$27,900,000.00 ",107
50 First Dates,PG-13,4/22/04,Comedy,English,"$75,000,000.00 ","$196,482,882.00 ",99
Descendants 3,PG,8/2/19,Family,English,"$15,000,000.00 ",-,106
Appassionata,VM14,6/6/74,Drama,Italian,-,-,96
Gone Girl,R,10/1/14,Mystery,English,"$61,000,000.00 ","$369,330,363.00 ",149
Dragon Ball Z: The Tree of Might,PG,6/7/90,Action,Status,Original,"$15,000,000.00 ",61
The Aviary,R,4/29/22,Thriller,English,-,-,95
Scouts Guide to the Zombie Apocalypse,R,10/29/15,Comedy,English,"$15,000,000.00 ","$14,860,766.00 ",93
No Manches Frida,PG-13,9/15/16,Comedy,Spanish;,Budget,"$12,421,716.00 ",100
The Aristocats,G,12/24/70,Animation,English,"$4,000,000.00 ","$55,675,257.00 ",78
The Little Things,NC16,1/28/21,Crime,English,"$30,000,000.00 ","$29,942,746.00 ",128
The Iron Giant,PG,12/16/99,Family,English,"$70,000,000.00 ","$23,159,305.00 ",86
Bound by Honor,R,2/5/93,Crime,English,"$35,000,000.00 ",-,190
Sleeping Beauty,G,2/17/59,Fantasy,English,"$6,000,000.00 ","$51,600,000.00 ",75
The Imitation Game,PG-13,12/19/14,History,English,"$14,000,000.00 ","$233,555,708.00 ",113
Alice in Wonderland,G,7/28/51,Animation,English,"$3,000,000.00 ","$572,000,000.00 ",75
Dragon Ball Z: The Return of Cooler,NR,3/7/92,Action,Status,Original,"$19,581,369.00 ",
Naruto Shippuden the Movie: The Will of Fire,PG-13,8/1/09,Action,-ナルト-,火の意志を継ぐ者,"$8,084,148.00 ",95
A Monster Calls,12A,1/6/17,Drama,English,"$43,000,000.00 ","$47,309,313.00 ",108
Violet Evergarden: The Movie,PG,9/18/20,Animation,Status,Original,"$20,339,624.00 ",140
Final Destination 5,R,8/12/11,Horror,English,"$47,000,000.00 ","$157,887,643.00 ",92
Rango,PG,3/3/11,Animation,English,"$135,000,000.00 ","$245,724,603.00 ",107
Spirit Untamed,PG,6/4/21,Animation,English,"$30,000,000.00 ","$17,635,215.00 ",88
Bridge to Terabithia,PG,2/16/07,Adventure,English,"$60,000,000.00 ","$137,587,063.00 ",96
American Pie Presents: Beta House,R,12/10/07,Comedy,English,"$10,000,000.00 ","$18,610,260.00 ",85
Megamind,PG,11/4/10,Animation,English,"$130,000,000.00 ","$321,885,765.00 ",96
Barbie as The Princess & the Pauper,G,9/28/04,Animation,English,-,-,85
Child's Play,R,11/9/88,Horror,English,"$9,000,000.00 ","$44,196,684.00 ",87
American Pie Presents: Girls' Rules,R,10/6/20,Comedy,English,-,-,95
Monster Pets: A Hotel Transylvania Short,G,4/2/21,Animation,English,-,-,
Ciao Alberto,G,11/12/21,Animation,English,"$45,223.00 ",-,
X-Men: Days of Future Past,PG-13,5/22/14,Action,English,"$250,000,000.00 ","$747,862,775.00 ",132
The Town,R,10/21/10,Crime,English,"$37,000,000.00 ","$154,026,136.00 ",125
The 355,PG13,1/13/22,Action,English,"$75,000,000.00 ","$55,700,000.00 ",122
Close,PG-13,11/2/22,Drama,French,-,"$3,129,968.00 ",104
The Longest Yard,PG-13,9/8/05,Comedy,English,"$82,000,000.00 ","$190,320,568.00 ",113
Alien: Covenant,M18,5/9/17,Science Fiction,English,"$97,000,000.00 ","$240,891,763.00 ",122
See for Me,NR,9/19/21,Thriller,English,-,-,92
Peter Pan,G,2/5/53,Animation,English,"$4,000,000.00 ","$87,404,651.00 ",77
Deep Water,M18,3/18/22,Drama,English,-,-,116
Female Teacher: Dirty Afternoon,,1/23/81,Drama,Status,Original,-,66
An Interview with God,NR,8/20/18,Drama,English,-,-,97
The Martian,12A,10/1/15,Drama,English,"$108,000,000.00 ","$630,161,890.00 ",141
Pretty Baby,R,4/5/78,Drama,English,-,"$5,786,368.00 ",110
The Return of the Living Dead,R,8/16/85,Horror,English,"$4,000,000.00 ","$14,237,880.00 ",91
Pretty Guardian Sailor Moon Eternal The Movie Part 2,PG-13,2/11/21,Animation,後編,Released,-,80
Dynasty Warriors,NC16,7/1/21,Action,Released,Language,"$3,310,000.00 ",118
Hotel Transylvania 3: Summer Vacation,PG,6/30/18,Animation,English,"$80,000,000.00 ","$528,600,000.00 ",97
Rise of the Guardians,PG,11/22/12,Family,English,"$145,000,000.00 ","$306,941,670.00 ",97
Awake,R21,6/9/21,Drama,English,-,-,96
I Am Legend,PG-13,12/14/07,Drama,English,"$150,000,000.00 ","$585,410,052.00 ",101
The Sensuous Nurse,VM18,12/19/75,Comedy,Released,Language,-,90
Southpaw,R,7/23/15,Action,English,"$30,000,000.00 ","$91,709,827.00 ",123
Nymphomaniac: Vol. II,15,12/25/13,Drama,English,-,"$4,934,725.00 ",124
Kong: Skull Island,PG-13,3/10/17,Action,English,"$185,000,000.00 ","$566,652,812.00 ",118
Valley of the Dead,M18,7/11/22,Comedy,Released,Language,-,101
CODA,NC16,8/13/21,Drama,English,"$10,000,000.00 ","$1,600,000.00 ",112
Luckiest Girl Alive,R21,10/7/22,Drama,English,-,-,113
Aliens,R,7/18/86,Action,English,"$18,500,000.00 ","$183,316,455.00 ",137
The Gentiles,,6/3/22,Drama,Status,Original,-,77
Sicario: Day of the Soldado,NC16,7/19/18,Action,English,"$35,000,000.00 ","$75,836,683.00 ",122
Life Is Beautiful,T,12/20/97,Comedy,è,Status,"$230,098,753.00 ",116
Rambo: First Blood Part II,R,5/21/85,Action,English,"$44,000,000.00 ","$300,400,432.00 ",96
As in Heaven,15,2/10/22,Drama,er,himlen,-,85
Apex,NC16,3/24/22,Action,English,-,-,108
Redemption Day,R,1/8/21,Action,English,-,-,100
What the Peeper Saw,R,10/14/72,Horror,presenza,Status,-,89
Predators,R,7/3/10,Science Fiction,English,"$40,000,000.00 ","$127,233,108.00 ",107
The Pilgrim's Progress,PG,4/18/19,Animation,English,-,-,108
Rampage,PG-13,4/13/18,Action,English,"$120,000,000.00 ","$428,028,233.00 ",107
Monsters vs Aliens,PG,5/28/09,Animation,English,"$175,000,000.00 ","$381,509,870.00 ",94
The Karate Kid,PG,6/10/10,Action,English,"$40,000,000.00 ","$359,126,022.00 ",140
Redeeming Love,PG-13,1/21/22,Romance,English,-,"$9,100,000.00 ",134
A Dog's Purpose,PG,1/27/17,Adventure,English,"$22,000,000.00 ","$205,035,819.00 ",100
Pride & Prejudice,U,9/16/05,Drama,English,"$28,000,000.00 ","$121,616,555.00 ",127
Rocky,PG,11/21/76,Drama,English,"$1,000,000.00 ","$117,250,402.00 ",
Get Out,R,2/24/17,Mystery,English,"$4,500,000.00 ","$255,407,969.00 ",104
Descendants 2,G,7/21/17,Family,English,-,-,111
Chickenhare and the Hamster of Darkness,U,2/16/22,Animation,English,"$20,000,000.00 ",-,91
Chungking Express,IIB,7/14/94,Drama,Released,Language,-,103
Larva Pendant,L,5/25/22,Comedy,Korean,-,-,
Child of Kamiari Month,PG,2/8/22,Animation,Released,Language,-,100
Angels & Demons,PG-13,5/15/09,Thriller,English,"$150,000,000.00 ","$485,930,816.00 ",138
John Carter,PG-13,3/8/12,Action,English,"$250,000,000.00 ","$284,139,100.00 ",132
Marry Me,NC16,2/10/22,Romance,English,"$23,000,000.00 ","$44,000,000.00 ",112
Overcomer,PG,8/23/19,Drama,English,-,-,119
Hotel Transylvania,PG,12/6/12,Animation,English,"$85,000,000.00 ","$358,375,603.00 ",91
I Don't Like Younger Men 4,19+,7/26/19,Romance,4,Released,-,70
Paranormal Activity: Next of Kin,R,10/29/21,Horror,English,-,-,98
That's My Boy,R21,10/4/12,Comedy,English,"$70,000,000.00 ","$58,058,367.00 ",116
The Great Wall,PG-13,2/17/17,Action,English,"$150,000,000.00 ","$331,957,105.00 ",103
Titanic II,NR,8/24/10,Action,English,-,-,90
Trolls,PG,11/3/16,Family,English,"$125,000,000.00 ","$346,864,462.00 ",92
Saw,M18,11/18/04,Horror,English,"$1,200,000.00 ","$103,911,669.00 ",103
The Pursuit of Happyness,PG-13,3/1/07,Drama,English,"$55,000,000.00 ","$307,077,295.00 ",117
Rise of the Teenage Mutant Ninja Turtles: The Movie,7,8/5/22,Animation,English,-,-,86
Raped by an Angel 3: Sexual Fantasy of the Chief Executive,,7/3/98,Thriller,Released,Language,-,95
Blue Thermal,12+,3/4/22,Animation,Released,Language,-,103
I Am Dragon,12+,12/3/15,Fantasy,дракон,Released,"$10,495,305.00 ",110
Scary Movie 3,R,10/24/03,Comedy,English,"$48,000,000.00 ","$220,673,217.00 ",84
Fortress: Sniper's Eye,R,4/29/22,Action,English,-,-,87
Focus,R,2/26/15,Romance,English,"$50,100,000.00 ","$153,962,963.00 ",105
Prisoners,NC-16,9/19/13,Drama,English,"$46,000,000.00 ","$122,126,687.00 ",153
Bohemian Rhapsody,M18,11/1/18,Music,English,"$52,000,000.00 ","$903,992,901.00 ",135
The Tax Collector,R,8/7/20,Action,English,"$30,000,000.00 ","$942,666.00 ",95
The Chronicles of Narnia: Prince Caspian,PG,5/16/08,Adventure,English,"$225,000,000.00 ","$419,665,568.00 ",150
Raiders of the Lost Ark,PG,12/25/81,Adventure,English,"$18,000,000.00 ","$389,925,971.00 ",115
Back to the Future Part II,PG,11/22/89,Adventure,English,"$40,000,000.00 ","$332,000,000.00 ",108
Dangerous Lesson,19+,10/2/20,Drama,Status,Original,-,85
Watchmen,R,3/6/09,Action,English,"$130,000,000.00 ","$185,258,983.00 ",163
The Vault,10,3/3/21,Crime,English,"$15,000,000.00 ","$8,804,000.00 ",118
I Spit on Your Grave,R,10/8/10,Thriller,English,"$2,000,000.00 ","$572,809.00 ",108
The First Purge,R,7/4/18,Horror,English,"$13,000,000.00 ","$137,056,262.00 ",97
Scary Movie 4,PG-13,6/22/06,Comedy,English,"$45,000,000.00 ","$178,262,620.00 ",83
Straight Outta Nowhere: Scooby-Doo! Meets Courage the Cowardly Dog,PG,9/14/21,Animation,English,-,-,72
Green Lantern: Beware My Power,PG-13,5/19/22,Animation,English,-,-,87
Saint Seiya Heaven Chapter: Overture,L,2/14/04,Animation,序奏,Status,-,83
Old People,M18,10/7/22,Horror,German,-,-,101
Mortal Kombat Legends: Battle of the Realms,R,8/31/21,Animation,English,-,-,80
The Ten Commandments,G,3/29/11,Drama,English,"$13,000,000.00 ","$122,700,000.00 ",220
The Last Airbender,PG,7/1/10,Action,English,"$150,000,000.00 ","$319,713,881.00 ",103
Zindagi Jhand Hai,,4/15/20,Romance,English,"$56,000.00 ","$1,001,034.00 ",67
Angel Has Fallen,NC16,8/22/19,Action,English,"$40,000,000.00 ","$146,661,977.00 ",122
Titane,R21,3/24/22,Drama,French,"$6,600,000.00 ","$5,115,725.00 ",108
Nightcrawler,R,12/3/14,Crime,English,"$8,500,000.00 ","$50,300,000.00 ",118
Once Upon a Timeâ€¦ in Hollywood,M18,8/15/19,Comedy,English,"$95,000,000.00 ","$374,251,247.00 ",162
GoodFellas,R,9/19/90,Drama,English,"$25,000,000.00 ","$46,835,000.00 ",145
10 Cloverfield Lane,PG13,4/7/16,Thriller,English,"$15,000,000.00 ","$108,286,421.00 ",104
Valerian and the City of a Thousand Planets,12A,7/20/17,Adventure,English,"$177,200,000.00 ","$225,874,228.00 ",136
The Mask,PG-13,7/29/94,Romance,English,"$23,000,000.00 ","$351,583,407.00 ",101
King Kong,PG-13,12/14/05,Adventure,English,"$207,000,000.00 ","$562,363,449.00 ",187
Wrath of the Titans,PG-13,3/29/12,Fantasy,English,"$150,000,000.00 ","$301,970,083.00 ",99
Dragon Ball Z: Gather Together! Goku's World,,9/17/92,Action,あつまれ！,Status,-,
